## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429134-chr16.sorted.mdup.gc_bias_metrics.pdf SUMMARY_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429134-chr16.sorted.mdup.summary_metrics.txt INPUT=./testdata/out/mdup/ERR1429134-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429134-chr16.sorted.mdup.gc_bias_metrics.txt REFERENCE_SEQUENCE=./testdata/chr16-ref/GRCh38-chr16.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:57 PST 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	4955	0	0	0	0			
All Reads	ALL	1	2927	0	0	0	0			
All Reads	ALL	2	2744	0	0	0	0			
All Reads	ALL	3	2863	0	0	0	0			
All Reads	ALL	4	3311	0	0	0	0			
All Reads	ALL	5	3783	0	0	0	0			
All Reads	ALL	6	4380	0	0	0	0			
All Reads	ALL	7	4552	0	0	0	0			
All Reads	ALL	8	5438	0	0	0	0			
All Reads	ALL	9	7056	0	0	0	0			
All Reads	ALL	10	7335	0	0	0	0			
All Reads	ALL	11	8188	0	0	0	0			
All Reads	ALL	12	10229	0	0	0	0			
All Reads	ALL	13	12106	0	0	0	0			
All Reads	ALL	14	15755	0	0	0	0			
All Reads	ALL	15	20904	0	0	0	0			
All Reads	ALL	16	29368	0	0	0	0			
All Reads	ALL	17	42411	0	0	0	0			
All Reads	ALL	18	61969	2	14	0.034701	0.024537			
All Reads	ALL	19	90103	0	0	0	0			
All Reads	ALL	20	128450	4	26	0.033482	0.016741			
All Reads	ALL	21	180843	9	30	0.053508	0.017836			
All Reads	ALL	22	250274	10	0	0.04296	0.013585			
All Reads	ALL	23	341099	10	25	0.031521	0.009968			
All Reads	ALL	24	451422	6	0	0.014291	0.005834			
All Reads	ALL	25	579887	16	29	0.029666	0.007416			
All Reads	ALL	26	719109	25	28	0.037379	0.007476			
All Reads	ALL	27	869882	33	28	0.040788	0.0071			
All Reads	ALL	28	1033651	77	24	0.080094	0.009128			
All Reads	ALL	29	1212810	107	27	0.094858	0.00917			
