## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429150-chr16.sorted.mdup.gc_bias_metrics.pdf SUMMARY_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429150-chr16.sorted.mdup.summary_metrics.txt INPUT=./testdata/out/mdup/ERR1429150-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429150-chr16.sorted.mdup.gc_bias_metrics.txt REFERENCE_SEQUENCE=./testdata/chr16-ref/GRCh38-chr16.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:38:03 PST 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	4955	0	0	0	0			
All Reads	ALL	1	2927	0	0	0	0			
All Reads	ALL	2	2744	0	0	0	0			
All Reads	ALL	3	2863	0	0	0	0			
All Reads	ALL	4	3311	0	0	0	0			
All Reads	ALL	5	3783	0	0	0	0			
All Reads	ALL	6	4380	0	0	0	0			
All Reads	ALL	7	4552	0	0	0	0			
All Reads	ALL	8	5438	0	0	0	0			
All Reads	ALL	9	7056	0	0	0	0			
All Reads	ALL	10	7335	0	0	0	0			
All Reads	ALL	11	8188	0	0	0	0			
All Reads	ALL	12	10229	1	5	0.079214	0.079214			
All Reads	ALL	13	12106	0	0	0	0			
All Reads	ALL	14	15755	0	0	0	0			
All Reads	ALL	15	20904	1	12	0.038762	0.038762			
All Reads	ALL	16	29368	0	0	0	0			
All Reads	ALL	17	42411	3	10	0.057316	0.033092			
All Reads	ALL	18	61969	7	0	0.091529	0.034595			
All Reads	ALL	19	90103	2	17	0.017986	0.012718			
All Reads	ALL	20	128450	0	0	0	0			
All Reads	ALL	21	180843	2	0	0.008961	0.006336			
All Reads	ALL	22	250274	5	19	0.016188	0.007239			
All Reads	ALL	23	341099	2	0	0.004751	0.003359			
All Reads	ALL	24	451422	10	23	0.017949	0.005676			
All Reads	ALL	25	579887	20	25	0.027946	0.006249			
All Reads	ALL	26	719109	41	18	0.046198	0.007215			
All Reads	ALL	27	869882	55	20	0.051231	0.006908			
All Reads	ALL	28	1033651	85	27	0.066631	0.007227			
