## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=./testdata/out/metrics/CollectInsertSizeMetrics/ERR1429150-chr16.sorted.mdup.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=./testdata/out/mdup/ERR1429150-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectInsertSizeMetrics/ERR1429150-chr16.sorted.mdup.colinsert.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:43 PST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
168	158	18	99	609	181.206216	53.599618	20681	FR	7	15	21	29	37	51	71	119	333	393	495			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
99	1
101	9
102	10
103	12
104	13
105	17
106	16
107	18
108	21
109	14
110	23
111	31
112	22
113	38
114	41
115	41
116	42
117	60
118	46
119	48
120	48
121	33
122	65
123	61
124	67
125	64
126	70
127	84
128	73
129	97
130	106
131	95
132	113
133	104
134	111
135	119
136	107
137	127
138	126
139	135
140	112
141	148
142	114
143	153
144	140
145	160
146	185
147	217
148	222
149	254
150	309
151	284
152	339
153	345
154	343
155	375
156	316
157	376
158	399
159	362
160	386
161	337
162	360
163	377
164	351
165	327
166	334
167	330
168	303
169	318
170	291
171	265
172	246
173	243
174	224
175	223
176	207
177	211
178	222
179	205
180	186
181	183
182	162
183	176
184	169
185	171
186	140
187	103
188	134
189	115
190	130
191	93
192	112
193	95
194	101
195	107
196	88
197	85
198	74
199	80
200	75
201	69
202	61
203	58
204	46
205	38
206	36
207	44
208	37
209	48
210	44
211	38
212	31
213	36
214	27
215	24
216	24
217	25
218	28
219	21
220	28
221	12
222	16
223	11
224	11
225	17
226	14
227	8
228	13
229	10
230	11
231	8
232	9
233	6
234	10
235	6
236	8
237	6
238	13
239	9
240	8
241	11
242	6
243	7
244	8
245	7
246	9
247	5
248	6
249	7
250	9
251	7
252	1
253	6
254	9
255	3
256	8
257	9
258	7
259	11
260	11
261	13
262	9
263	9
264	9
265	7
266	11
267	15
268	13
269	11
270	12
271	7
272	18
273	10
274	11
275	10
276	13
277	25
278	14
279	14
280	13
281	10
282	15
283	16
284	18
285	17
286	16
287	20
288	14
289	18
290	17
291	16
292	16
293	21
294	24
295	20
296	23
297	23
298	17
299	30
300	17
301	22
302	14
303	30
304	19
305	22
306	29
307	29
308	25
309	36
310	30
311	26
312	49
313	34
314	30
315	41
316	24
317	34
318	37
319	32
320	31
321	34
322	48
323	29
324	30
325	21
326	35
327	50
328	33
329	41
330	32
331	40
332	37
333	37
334	46
335	40
336	40
337	32
338	42
339	25
340	31
341	36
342	30
343	51
344	34
345	37
346	33
347	25
348	34

