## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=./testdata/out/metrics/CollectInsertSizeMetrics/ERR1429118-chr16.sorted.mdup.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=./testdata/out/mdup/ERR1429118-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectInsertSizeMetrics/ERR1429118-chr16.sorted.mdup.colinsert.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:34 PST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
144	146	14	96	53983477	144.947446	24.197028	12868	FR	5	11	17	23	29	37	47	61	79	99	147			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
96	1
97	1
98	1
99	1
100	1
101	25
102	68
103	59
104	83
105	88
106	101
107	75
108	109
109	96
110	89
111	80
112	86
113	101
114	103
115	80
116	103
117	109
118	82
119	98
120	117
121	123
122	147
123	172
124	206
125	177
126	208
127	263
128	208
129	212
130	238
131	209
132	232
133	209
134	212
135	232
136	206
137	209
138	196
139	198
140	166
141	185
142	189
143	203
144	270
145	312
146	354
147	351
148	317
149	280
150	274
151	239
152	223
153	216
154	176
155	169
156	149
157	134
158	122
159	121
160	120
161	113
162	94
163	95
164	90
165	93
166	91
167	92
168	75
169	81
170	86
171	80
172	86
173	66
174	67
175	61
176	59
177	57
178	40
179	47
180	34
181	67
182	49
183	46
184	52
185	40
186	39
187	39
188	47
189	30
190	38
191	28
192	32
193	36
194	30
195	31
196	30
197	32
198	30
199	33
200	34
201	30
202	19
203	25
204	22
205	19
206	15
207	18
208	15
209	18
210	18
211	14
212	13
213	10
214	12
215	19
216	9
217	10
218	9
219	3
220	9
221	11
222	3
223	8
224	4
225	6
226	8
227	3
228	4
229	4
230	6
231	4
232	3
234	3
235	1
236	1
239	2
240	1
241	1
243	1
250	1
262	1
266	1
278	1
279	1
281	1
283	2
284	1

