## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=./testdata/out/metrics/CollectInsertSizeMetrics/ERR1429122-chr16.sorted.mdup.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=./testdata/out/mdup/ERR1429122-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectInsertSizeMetrics/ERR1429122-chr16.sorted.mdup.colinsert.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:39 PST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
144	147	13	98	499	144.830164	22.421027	16178	FR	5	11	15	21	27	35	43	55	75	91	143			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
98	1
99	1
101	30
102	43
103	50
104	59
105	79
106	87
107	81
108	86
109	92
110	86
111	105
112	99
113	110
114	105
115	121
116	111
117	130
118	118
119	138
120	157
121	171
122	202
123	197
124	253
125	267
126	284
127	278
128	277
129	261
130	264
131	275
132	290
133	304
134	285
135	291
136	297
137	271
138	260
139	266
140	256
141	237
142	243
143	312
144	341
145	417
146	464
147	479
148	460
149	390
150	391
151	307
152	297
153	255
154	219
155	221
156	168
157	175
158	173
159	161
160	167
161	162
162	145
163	130
164	123
165	114
166	127
167	114
168	105
169	115
170	104
171	83
172	95
173	79
174	62
175	70
176	65
177	63
178	55
179	62
180	56
181	57
182	46
183	57
184	47
185	43
186	44
187	60
188	37
189	50
190	29
191	46
192	33
193	41
194	31
195	43
196	28
197	32
198	24
199	29
200	29
201	20
202	30
203	30
204	23
205	23
206	19
207	17
208	18
209	27
210	7
211	15
212	13
213	10
214	12
215	12
216	12
217	14
218	9
219	4
220	7
221	8
222	8
223	9
224	5
225	4
226	4
227	2
228	4
229	5
230	2
231	3
232	2
233	3
234	1
239	2
240	1
241	1
243	1
246	1
247	1
256	2
258	1
262	1
269	2

